Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Created Date
"Epic","1","Enable datastore for students",,"To Do","StudentProfile",,"0","3/3/2025 12:02:18 PM"
"Task","3","Design Authentication Flow",,"Doing","StudentProfile",,"0","3/5/2025 9:25:17 AM"
"Task","4","Implement OAuth Provider",,"To Do","StudentProfile",,"0","3/5/2025 9:29:52 AM"
"Task","5","Create Login UI",,"To Do","StudentProfile",,"0","3/5/2025 9:31:08 AM"
"Epic","6","Dashboard UI Redesign",,"To Do","StudentProfile",,"0","3/5/2025 9:33:19 AM"
"Issue","7","Login Fails on First Attempt",,"To Do","StudentProfile",,"0","3/5/2025 9:34:18 AM"
"Issue","8","Slow Dashboard Load Time",,"To Do","StudentProfile",,"0","3/5/2025 9:35:08 AM"
"Epic","9","API Gateway Implementation",,"To Do","StudentProfile",,"0","3/5/2025 9:36:37 AM"
"Epic","10","Performance Optimization",,"To Do","StudentProfile",,"0","3/5/2025 9:37:16 AM"
"Task","11","Setup Token Expiry Handling",,"To Do","StudentProfile",,"0","3/5/2025 9:37:58 AM"
"Task","13","Test Authentication Flow",,"To Do","StudentProfile",,"0","3/5/2025 9:40:01 AM"
"Task","14","Create Wireframes",,"Doing","StudentProfile",,"0","3/5/2025 9:40:40 AM"
"Task","15","Implement New Layout",,"To Do","StudentProfile",,"0","3/5/2025 9:41:37 AM"
"Task","16","Enhance Responsiveness",,"To Do","StudentProfile",,"0","3/5/2025 9:43:42 AM"
"Task","17","Integrate API",,"To Do","StudentProfile",,"0","3/5/2025 9:44:15 AM"
"Task","18","Perform UI Testing",,"To Do","StudentProfile",,"0","3/5/2025 9:44:50 AM"
"Task","19","Analyze Current DB Structure",,"Doing","StudentProfile",,"0","3/5/2025 9:45:58 AM"
"Task","20","Set Up Azure SQL",,"To Do","StudentProfile",,"0","3/5/2025 9:46:38 AM"
"Task","21","Migrate Data",,"To Do","StudentProfile",,"0","3/5/2025 9:47:27 AM"
"Task","22","Optimize Queries",,"To Do","StudentProfile",,"0","3/5/2025 9:48:02 AM"
"Task","23","Validate Data Integrity",,"To Do","StudentProfile",,"0","3/5/2025 9:48:37 AM"
"Epic","24","User Authentication",,"Doing","StudentProfile",,"0","3/5/2025 9:52:22 AM"
"Epic","25","Database Migration",,"Doing","StudentProfile",,"0","3/5/2025 9:54:28 AM"
